identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;dept;pays;latitude;longitude;wgs84;Coeff_Total
14920A;BULLION AP;Agence postale commnunale;12 RUE SAINT VINCENT;;;78830;BULLION;78;FRANCE;48.622;1.99673;48.622, 1.99673;1,238518818
14954A;GARANCIERES BP;Bureau de poste;RUE SAINT MAURICE;;;78890;GARANCIERES;78;FRANCE;48.820774;1.75387;48.820774, 1.75387;1,239168904
14998A;LE RELAIS DU CLAIR DE LUNE AP;Relais poste commerçant;PLACE  GEORGES POMPIDOU;;;78910;ORVILLIERS;78;FRANCE;48.8581;1.64185;48.8581, 1.64185;1,249677533
15034A;VOISINS LE BRETONNEUX BP;Bureau de poste;11 RUE JEAN RACINE;;;78960;VOISINS LE BRETONNEUX;78;FRANCE;48.759;2.05089;48.759, 2.05089;1,212502416
14917A;BREVAL BP;Bureau de poste;RUE LECLERC;;;78980;BREVAL;78;FRANCE;48.9449;1.5339;48.9449, 1.5339;1,222799129
64587A;ELANCOURT GANDOUGET AP;Relais poste commerçant;;CENTRE COMMERCIAL GANDOUGET;;78990;ELANCOURT;78;FRANCE;48.7755;1.94536;48.7755, 1.94536;1,229063175
17013A;EVRY PARC AUX LIEVRES BP;Bureau de poste;7 PLACE DU PARC AUX LIEVRES;;;91000;EVRY;91;FRANCE;48.6274;2.44832;48.6274, 2.44832;1,216612139
17035A;VIRY CHATILLON PLATEAU BP;Bureau de poste;12 AVENUE JEAN BAPTISTE LEBAS;;;91170;VIRY CHATILLON;91;FRANCE;48.6601;2.36469;48.6601, 2.36469;1,247451611
17014A;GIF SUR YVETTE CHEVRY BP;Bureau de poste;PLACE DU MARC;PARC DE BELLEVILLE;;91190;GIF SUR YVETTE;91;FRANCE;48.6881;2.11555;48.6881, 2.11555;1,238092768
10429B;DRAVEIL LES BERGERIE AP;Relais poste commerçant;56 RUE DU CHEMIN VERT;;;91210;DRAVEIL;91;FRANCE;48.691743;2.430541;48.691743, 2.430541;1,221258132
17061A;DRAVEIL LES MOUSSEAUX AP;Agence postale commnunale;AVENUE DE SULLY;;;91210;DRAVEIL;91;FRANCE;48.693;2.41216;48.693, 2.41216;1,220236607
16989A;ST MICHEL SUR ORGE PRINCIPAL;Bureau de poste;PLACE GAMBETTA;;;91240;ST MICHEL SUR ORGE;91;FRANCE;48.6367;2.30908;48.6367, 2.30908;1,231181662
16957A;JUVISY SUR ORGE;Bureau de poste;9 PLACE DU MARECHAL LECLERC;;;91260;JUVISY SUR ORGE;91;FRANCE;48.6906;2.37559;48.6906, 2.37559;1,210678125
17040A;JUVISY QUARTIER DE SEINE BP;Bureau de poste;53 RUE MONTTESSUY;;;91260;JUVISY SUR ORGE;91;FRANCE;48.6884;2.38441;48.6884, 2.38441;1,206930447
16909A;ARPAJON;Bureau de poste;17 BOULEVARD JEAN JAURES;;;91290;ARPAJON;91;FRANCE;48.589;2.24548;48.589, 2.24548;1,224082788
16966A;MASSY OPERA;Bureau de poste;PLACE DE FRANCE;;;91300;MASSY;91;FRANCE;48.7325;2.28982;48.7325, 2.28982;1,216850587
16975A;MORSANG SUR ORGE;Bureau de poste;31 AV PAUL VAILLANT COUTURIER;;;91390;MORSANG SUR ORGE;91;FRANCE;48.6531;2.35154;48.6531, 2.35154;1,218712318
17024A;ORSAY MONDETOUR AP;Agence postale commnunale;BOULEVARD DE MONDETOUR;;;91400;ORSAY;91;FRANCE;48.6831;2.18333;48.6831, 2.18333;1,200895782
16951A;FORGES LES BAINS BP;Bureau de poste;6 PLACE DE L EGLISE;;;91470;FORGES LES BAINS;91;FRANCE;48.6287;2.09606;48.6287, 2.09606;1,225994802
16967A;MENNECY;Bureau de poste;63 B BOULEVARD CHARLES DE GAULLE;;;91540;MENNECY;91;FRANCE;48.5627;2.43046;48.5627, 2.43046;1,214023383
16947A;ETRECHY;Bureau de poste;62 GRANDE RUE;;;91580;ETRECHY;91;FRANCE;48.491714;2.19045;48.491714, 2.19045;1,214199215
16949A;LA FERTE ALAIS;Bureau de poste;16 B RUE DU DOCTEUR AMODRU;;;91590;LA FERTE ALAIS;91;FRANCE;48.484663;2.348757;48.484663, 2.348757;1,242274414
16995A;SAVIGNY SUR ORGE;Bureau de poste;46 AVENUE CHARLES DE GAULLE;;;91600;SAVIGNY SUR ORGE;91;FRANCE;48.6791;2.34589;48.6791, 2.34589;1,234564924
17037A;SAVIGNY SUR ORGE CHARDONNERETS BP;Bureau de poste;1 AVENUE DES CHARDONNERETS;;;91600;SAVIGNY SUR ORGE;91;FRANCE;48.6884;2.3501;48.6884, 2.3501;1,218763132
16968A;MEREVILLE BP;Bureau de poste;5 RUE MAURICE BERTEAUX;;;91660;MEREVILLE;91;FRANCE;48.316486;2.087987;48.316486, 2.087987;1,229592741
16950A;FLEURY MEROGIS BP;Bureau de poste;CENTRE COMMERCIAL;;;91700;FLEURY MEROGIS;91;FRANCE;48.639;2.3624;48.639, 2.3624;1,226935251
17052A;SAINTE GENEVIEVE DES BOIS GARE BP;Bureau de poste;68 AVENUE GABRIEL PERI;;;91700;STE GENEVIEVE DES BOIS;91;FRANCE;48.6492;2.31974;48.6492, 2.31974;1,205641508
16963A;MAISSE BP;Bureau de poste;PLACE DE LA MAIRIE;;;91720;MAISSE;91;FRANCE;48.3926;2.37767;48.3926, 2.37767;1,207576778
16924A;BOURAY SUR JUINE BP;Bureau de poste;19 RUE DE LA MAIRIE;;;91850;BOURAY SUR JUINE;91;FRANCE;48.521362;2.300187;48.521362, 2.300187;1,246867351
14956B;BOUVILLE APC AP;Agence postale commnunale;RUE DE LA MAIRIE;MAIRIE DE BOUVILLE;;91880;BOUVILLE;91;FRANCE;48.431949;2.26983;48.431949, 2.26983;1,2190768
16970A;MONNERVILLE AP;Relais poste commerçant;32 GRANDE RUE;BUREAU TABAC CAFE GASSELIN;;91930;MONNERVILLE;91;FRANCE;48.3464;2.04282;48.3464, 2.04282;1,224464429
70515A;BOULOGNE LA LIBERTE DE PENSER AP;Relais poste commerçant;41 BOULEVARD DE LA REPUBLIQUE;LIBRAIRIE  LA LIBERTÉ DE PENSER;;92100;BOULOGNE BILLANCOURT;92;FRANCE;48.8323;2.2511;48.8323, 2.2511;1,201491151
